date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:52	96969/96969	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2016:56:28%20GMT	https://www.dominos.com/cms/assets/bfcd93a4-02c1-4822-97aa-4906d5de828a?modified_on=2024-07-29T12%3A34%3A29.356Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/bfcd93a4-02c1-4822-97aa-4906d5de828aad4c.png	(from https://www.dominos.com/menu/wings)
18:52:52	157524/157524	---MCZ	200	added ('OK')	text/html	etag:%221491g8q9mqn1t46%22	https://www.dominos.com/menu/wings/S_HOTWINGS/hot_buffalo_wings	C:/Aali/dominos/www.dominos.com/menu/wings/S_HOTWINGS/hot_buffalo_wings.html	(from https://www.dominos.com/menu/wings)
18:52:55	88817/88817	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2016:56:29%20GMT	https://www.dominos.com/cms/assets/3f0c7768-c606-49b8-889a-190c20181536?modified_on=2024-07-29T12%3A34%3A35.061Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/3f0c7768-c606-49b8-889a-190c2018153602db.png	(from https://www.dominos.com/menu/wings)
18:52:55	157518/157518	---MCZ	200	added ('OK')	text/html	etag:%22pn6addgq7h1t44%22	https://www.dominos.com/menu/wings/S_BBQW/honey_bbq_wings	C:/Aali/dominos/www.dominos.com/menu/wings/S_BBQW/honey_bbq_wings.html	(from https://www.dominos.com/menu/wings)
18:52:57	87927/87927	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Nov%202024%2016:56:29%20GMT	https://www.dominos.com/cms/assets/a6a2b4f7-5621-46c9-989c-10378c33548d?modified_on=2024-07-29T12%3A34%3A27.661Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/a6a2b4f7-5621-46c9-989c-10378c33548d8365.png	(from https://www.dominos.com/menu/wings)
18:52:57	157489/157489	---MCZ	200	added ('OK')	text/html	etag:%22u4vpuu7fck1t3i%22	https://www.dominos.com/menu/wings/S_PLNWINGS/plain_wings	C:/Aali/dominos/www.dominos.com/menu/wings/S_PLNWINGS/plain_wings.html	(from https://www.dominos.com/menu/wings)
18:52:59	90682/90682	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Apr%202025%2019:14:41%20GMT	https://www.dominos.com/cms/assets/98c65bfe-c54b-4ae8-8fc2-0a073c3cab98?modified_on=2024-07-29T12%3A34%3A32.948Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/98c65bfe-c54b-4ae8-8fc2-0a073c3cab981070.png	(from https://www.dominos.com/menu/wings)
18:53:00	157580/157580	---MCZ	200	added ('OK')	text/html	etag:%2236i8mq2hlr1t55%22	https://www.dominos.com/menu/wings/S_SMANG/sweet_mango_habanero_wings	C:/Aali/dominos/www.dominos.com/menu/wings/S_SMANG/sweet_mango_habanero_wings.html	(from https://www.dominos.com/menu/wings)
18:53:02	88812/88812	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Mar%202025%2022:38:52%20GMT	https://www.dominos.com/cms/assets/074b9690-f3fb-4085-9356-0f116ceb205c?modified_on=2024-07-29T12%3A34%3A32.828Z&im=Resize%3D%28426%2C426%29%3BCrop%2Crect%3D%28200%2C130%2C234%2C234%29%2CallowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/074b9690-f3fb-4085-9356-0f116ceb205c1a3b.png	(from https://www.dominos.com/menu/wings)
18:53:02	157563/157563	---MCZ	200	added ('OK')	text/html	etag:%22m14shrgwdl1t58%22	https://www.dominos.com/menu/wings/S_GPRMWING/garlic_parmesan_wings	C:/Aali/dominos/www.dominos.com/menu/wings/S_GPRMWING/garlic_parmesan_wings.html	(from https://www.dominos.com/menu/wings)
18:53:04	157505/157505	---MCZ	200	added ('OK')	text/html	etag:%22q0us7tvzf61t3n%22	https://www.dominos.com/menu/wings/S_BONELESS/boneless_chicken	C:/Aali/dominos/www.dominos.com/menu/wings/S_BONELESS/boneless_chicken.html	(from https://www.dominos.com/menu/wings)
18:53:04	204745/204745	---MCZ	200	added ('OK')	text/html	etag:%221846m2g5ora2rzk%22	https://www.dominos.com/en/menu/dessert	C:/Aali/dominos/www.dominos.com/en/menu/dessert.html	(from https://www.dominos.com/menu/dessert)
